DHSCLUST,ADM1NAME,DHSREGCO,DHSREGNA,URBAN_RURA,DISTRICT,DT_CEN_CD,ST_NM,ST_CEN_CD,geometry,flag
88301,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88302,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88303,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88304,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88305,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88306,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88307,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88308,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88309,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88310,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88311,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88312,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88313,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88314,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88315,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88316,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88317,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88318,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88319,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88320,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88321,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88322,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88323,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88324,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88325,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88326,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88327,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88328,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88329,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88330,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88331,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88332,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88333,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88334,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88335,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88336,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88337,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88338,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88339,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88340,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88341,TELANGANA,883,Adilabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
88342,TELANGANA,883,Adilabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89301,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89302,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89303,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89304,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89305,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89306,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89307,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89308,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89309,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89310,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89311,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89312,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89313,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89314,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89315,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89316,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89317,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89318,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89319,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89320,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89321,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89322,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89323,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89324,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89325,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89326,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89327,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89328,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89329,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89330,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89331,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89332,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89333,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89334,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89335,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89336,TELANGANA,893,Komaram Bheem Asifabad,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89337,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89338,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89339,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89340,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89341,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89342,TELANGANA,893,Komaram Bheem Asifabad,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89601,TELANGANA,896,Mancherial,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89602,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89603,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89604,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89605,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89606,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89608,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89609,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89610,TELANGANA,896,Mancherial,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89611,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89612,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89613,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89614,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89615,TELANGANA,896,Mancherial,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89616,TELANGANA,896,Mancherial,R,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
89617,TELANGANA,896,Mancherial,U,Adilabad,1,Andhra Pradesh,28,"c(NA, NA)",NA
