DHSCLUST,ADM1NAME,DHSREGCO,DHSREGNA,URBAN_RURA,DHSREGEN,OTHREGNA,OTHREGCO,REGCODE,SVYYEAR,flag
34201,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34202,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34203,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34204,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34205,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34206,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34207,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34208,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34209,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34210,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34211,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34212,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34213,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34214,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34215,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34216,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34217,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34218,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34219,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34220,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34221,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34222,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34223,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34224,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34225,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34226,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34227,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34228,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34229,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34230,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34231,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34232,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34233,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34234,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34235,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34236,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34237,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34238,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34239,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34240,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34241,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
34242,WEST BENGAL,342,Kolkata,U,Kolkata,West Bengal,19,342,2020,NA
101,JAMMU & KASHMIR,1,Kupwara,U,Kupwara,Jammu & Kashmir,1,1,2020,NA
102,JAMMU & KASHMIR,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA
103,JAMMU & KASHMIR,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA
104,JAMMU & KASHMIR,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA
105,JAMMU & KASHMIR,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA
106,JAMMU & KASHMIR,1,Kupwara,R,Kupwara,Jammu & Kashmir,1,1,2020,NA
